"Adjuntas Municipio, PR"	72001	
		"Adjuntas Municipio, PR"	72001
		"Guayanilla Municipio, PR"	72059
		"Lares Municipio, PR"	72081
		"Peñuelas Municipio, PR"	72111
		"Ponce Municipio, PR"	72113
		"Utuado Municipio, PR"	72141
		"Yauco Municipio, PR"	72153

"Aguada Municipio, PR"	72003	
		"Aguada Municipio, PR"	72003
		"Aguadilla Municipio, PR"	72005
		"Añasco Municipio, PR"	72011
		"Moca Municipio, PR"	72099
		"Rincón Municipio, PR"	72117

"Aguadilla Municipio, PR"	72005	
		"Aguada Municipio, PR"	72003
		"Aguadilla Municipio, PR"	72005
		"Isabela Municipio, PR"	72071
		"Moca Municipio, PR"	72099

"Aguas Buenas Municipio, PR"	72007	
		"Aguas Buenas Municipio, PR"	72007
		"Bayamón Municipio, PR"	72021
		"Caguas Municipio, PR"	72025
		"Cidra Municipio, PR"	72041
		"Comerío Municipio, PR"	72045
		"Guaynabo Municipio, PR"	72061
		"San Juan Municipio, PR"	72127

"Aibonito Municipio, PR"	72009	
		"Aibonito Municipio, PR"	72009
		"Barranquitas Municipio, PR"	72019
		"Cayey Municipio, PR"	72035
		"Cidra Municipio, PR"	72041
		"Coamo Municipio, PR"	72043
		"Salinas Municipio, PR"	72123

"Añasco Municipio, PR"	72011	
		"Aguada Municipio, PR"	72003
		"Añasco Municipio, PR"	72011
		"Las Marías Municipio, PR"	72083
		"Mayagüez Municipio, PR"	72097
		"Moca Municipio, PR"	72099
		"Rincón Municipio, PR"	72117
		"San Sebastián Municipio, PR"	72131

"Arecibo Municipio, PR"	72013	
		"Arecibo Municipio, PR"	72013
		"Barceloneta Municipio, PR"	72017
		"Ciales Municipio, PR"	72039
		"Florida Municipio, PR"	72054
		"Hatillo Municipio, PR"	72065
		"Utuado Municipio, PR"	72141

"Arroyo Municipio, PR"	72015	
		"Arroyo Municipio, PR"	72015
		"Guayama Municipio, PR"	72057
		"Patillas Municipio, PR"	72109

"Barceloneta Municipio, PR"	72017	
		"Arecibo Municipio, PR"	72013
		"Barceloneta Municipio, PR"	72017
		"Florida Municipio, PR"	72054
		"Manatí Municipio, PR"	72091

"Barranquitas Municipio, PR"	72019	
		"Aibonito Municipio, PR"	72009
		"Barranquitas Municipio, PR"	72019
		"Cidra Municipio, PR"	72041
		"Coamo Municipio, PR"	72043
		"Comerío Municipio, PR"	72045
		"Corozal Municipio, PR"	72047
		"Naranjito Municipio, PR"	72105
		"Orocovis Municipio, PR"	72107

"Bayamón Municipio, PR"	72021	
		"Aguas Buenas Municipio, PR"	72007
		"Bayamón Municipio, PR"	72021
		"Cataño Municipio, PR"	72033
		"Comerío Municipio, PR"	72045
		"Guaynabo Municipio, PR"	72061
		"Naranjito Municipio, PR"	72105
		"Toa Alta Municipio, PR"	72135
		"Toa Baja Municipio, PR"	72137

"Cabo Rojo Municipio, PR"	72023	
		"Cabo Rojo Municipio, PR"	72023
		"Hormigueros Municipio, PR"	72067
		"Lajas Municipio, PR"	72079
		"Mayagüez Municipio, PR"	72097
		"San Germán Municipio, PR"	72125

"Caguas Municipio, PR"	72025	
		"Aguas Buenas Municipio, PR"	72007
		"Caguas Municipio, PR"	72025
		"Cayey Municipio, PR"	72035
		"Cidra Municipio, PR"	72041
		"Gurabo Municipio, PR"	72063
		"San Juan Municipio, PR"	72127
		"San Lorenzo Municipio, PR"	72129
		"Trujillo Alto Municipio, PR"	72139

"Camuy Municipio, PR"	72027	
		"Camuy Municipio, PR"	72027
		"Hatillo Municipio, PR"	72065
		"Lares Municipio, PR"	72081
		"Quebradillas Municipio, PR"	72115
		"San Sebastián Municipio, PR"	72131

"Canóvanas Municipio, PR"	72029	
		"Canóvanas Municipio, PR"	72029
		"Carolina Municipio, PR"	72031
		"Gurabo Municipio, PR"	72063
		"Juncos Municipio, PR"	72077
		"Las Piedras Municipio, PR"	72085
		"Loíza Municipio, PR"	72087
		"Río Grande Municipio, PR"	72119

"Carolina Municipio, PR"	72031	
		"Canóvanas Municipio, PR"	72029
